Número,Nome,Estrelas,Idade (anos),PRs Aprovados,Releases,Dias sem Update,Linguagem Primária,Razão de Issues Fechadas
88,moby/moby,65329,10.13,18104,120,0,Go,0.82
89,nvm-sh/nvm,65292,12.89,673,62,0,Shell,0.83
90,fatedier/frp,65009,7.21,434,77,0,Go,0.96
91,thedaviddias/Front-End-Checklist,64373,5.39,172,1,0,Unkutcnown,0.96
92,macrozheng/mall,63971,4.92,0,2,0,Java,0.94
93,pytorch/pytorch,63451,6.56,5357,43,0,C++,0.67
94,hakimel/reveal.js,63265,11.75,373,39,0,JavaScript,0.71
95,neovim/neovim,63163,9.1,9261,31,0,Vim Script,0.85
96,elastic/elasticsearch,62945,13.07,53904,108,0,Java,0.89
97,florinpop17/app-ideas,62882,4.03,149,0,0,Unkutcnown,0.31
98,webpack/webpack,62635,10.99,4203,382,0,JavaScript,0.98
99,iptv-org/iptv,62475,4.31,5161,0,0,JavaScript,0.84
100,Hack-with-Github/Awesome-Hacking,62268,6.93,27,0,0,Unkutcnown,0
101,netdata/netdata,62206,9.72,6364,61,0,C,0.97
102,pallets/flask,62122,12.92,1445,24,0,Python,1.0
103,apple/swift,61988,7.37,41247,46,0,C++,0.57
104,GrowingGit/GitHub-Chinese-Top-Charts,60213,3.5,0,0,0,Java,0.59
105,expressjs/express,60158,13.69,268,147,0,JavaScript,0.97
106,tauri-apps/tauri,60032,3.65,2869,500,0,Rust,0.85
107,chartjs/Chart.js,59993,9.97,2858,101,0,JavaScript,0.97
108,resume/resume.github.com,59456,12.08,84,0,0,JavaScript,0.55
109,kdn251/interviews,59311,6.06,42,0,0,Java,0.39
110,reduxjs/redux,59305,7.77,1584,70,0,TypeScript,0.98
111,coder/code-server,59302,4.02,1258,102,0,TypeScript,0.92
112,angular/angular.js,59247,13.16,789,0,0,JavaScript,0.96
113,atom/atom,59181,11.13,3937,538,0,JavaScript,0.94
114,godotengine/godot,58993,9.17,26459,43,0,C++,0.82
115,redis/redis,58823,13.96,3195,46,0,C,0.69
116,home-assistant/core,58651,9.47,44189,1000,0,Python,0.94
117,protocolbuffers/protobuf,58445,8.53,4188,122,0,C++,0.88
118,jaywcjlove/awesome-mac,58425,6.64,703,6,0,JavaScript,0.74
119,adam-p/markdown-here,58268,10.81,20,11,0,JavaScript,0.51
120,josephmisiti/awesome-machine-learning,58095,8.64,780,0,0,Python,1.0
121,socketio/socket.io,57755,12.99,415,55,0,TypeScript,0.97
122,xingshaocheng/architect-awesome,57697,4.92,49,0,0,Unkutcnown,0.3
123,keras-team/keras,57495,7.94,2760,46,0,Python,0.98
124,jquery/jquery,57232,13.92,595,5,0,JavaScript,0.97
125,h5bp/Front-end-Developer-Interview-Questions,56605,11.07,439,0,0,Nunjucks,0.97
126,ansible/ansible,56500,11.0,36367,0,0,Python,0.98
127,kelseyhightower/nocode,56025,5.08,1,1,0,Dockerfile,0.14
128,shadowsocks/shadowsocks-windows,55943,10.14,278,55,0,C#,0.96
129,lodash/lodash,55790,10.91,573,2,0,JavaScript,0.92
130,leonardomso/33-js-concepts,55311,4.5,158,0,0,JavaScript,0.71
131,tiangolo/fastapi,55230,4.24,1149,145,0,Python,0.99
132,mermaid-js/mermaid,55089,8.34,1523,104,0,JavaScript,0.62
133,nestjs/nest,54846,6.08,4806,81,0,TypeScript,0.99
134,chrislgarry/Apollo-11,54540,8.93,320,0,0,Assembly,0.84
135,apache/echarts,54397,9.92,1157,107,0,TypeScript,0.87
136,grafana/grafana,54272,9.23,28827,342,0,TypeScript,0.9
137,enaqx/awesome-react,54224,8.58,765,0,0,Unkutcnown,0.78
138,gatsbyjs/gatsby,54202,7.79,17589,129,0,JavaScript,1.0
139,h5bp/html5-boilerplate,54079,13.11,666,32,0,JavaScript,0.99
140,DopplerHQ/awesome-interview-questions,53921,7.27,175,0,0,Unkutcnown,0.91
141,vitejs/vite,53618,2.87,3042,267,0,TypeScript,0.91
142,scikit-learn/scikit-learn,53238,12.55,10310,32,0,Python,0.85
143,awesomedata/awesome-public-datasets,53223,8.29,188,0,0,Unkutcnown,0.43
144,ElemeFE/element,53136,6.51,3221,144,0,Vue,0.87
145,lydiahallie/javascript-questions,52765,3.73,304,0,0,Unkutcnown,0.99
146,Developer-Y/cs-video-courses,52701,6.37,125,0,0,Unkutcnown,0.89
147,anuraghazra/github-readme-stats,52675,2.66,491,0,0,JavaScript,0.9
148,rails/rails,52449,14.9,20994,91,0,Ruby,0.98
149,strapi/strapi,52274,7.43,5885,267,0,JavaScript,0.96
150,Anduin2017/HowToCook,51563,3.02,458,1,0,HTML,0.43
151,python/cpython,51052,6.07,32051,0,0,Python,0.89
152,spring-projects/spring-framework,50976,12.24,751,249,0,Java,0.95
153,sdmg15/Best-websites-a-programmer-should-visit,50913,6.0,372,0,0,Unkutcnown,0.65
154,apache/superset,50861,7.63,10305,116,0,TypeScript,0.88
155,azl397985856/leetcode,50662,4.94,252,40,0,JavaScript,0.98
156,TheAlgorithms/Java,50578,6.64,974,0,0,Java,0.99
157,Semantic-Org/Semantic-UI,50453,9.91,356,154,0,JavaScript,0.85
