Número,Nome,Estrelas,Idade (anos),PRs Aprovados,Releases,Dias sem Update,Linguagem Primária,Razão de Issues Fechadas
887,penpot/penpot,20931,7.17,1650,29,0,Clojure,0.75
888,validatorjs/validator.js,20925,12.4,697,10,0,JavaScript,0.87
889,electron-react-boilerplate/electron-react-boilerplate,20921,7.79,793,58,0,TypeScript,0.98
890,firecracker-microvm/firecracker,20917,5.36,1792,59,0,Rust,0.91
891,ogham/exa,20912,8.77,225,12,0,Rust,0.7
892,tsenart/vegeta,20891,9.55,132,63,0,Go,0.78
893,taosdata/TDengine,20890,3.64,15118,89,0,C,0.78
894,freqtrade/freqtrade,20885,5.79,4037,68,0,Python,0.99
895,chubin/wttr.in,20885,7.18,256,0,0,Python,0.57
896,ossrs/srs,20872,7.84,314,40,0,C++,0.87
897,postcss/autoprefixer,20868,9.96,272,192,0,JavaScript,0.97
898,v8/v8,20850,8.43,0,0,0,C++,0
899,academic/awesome-datascience,20840,8.65,309,3,0,Unkutcnown,1.0
900,jellyfin/jellyfin,20813,4.22,3220,62,0,C#,0.81
901,TanStack/table,20809,6.36,659,188,0,TypeScript,0.97
902,gfwlist/gfwlist,20792,7.97,0,0,0,Unkutcnown,0.82
903,locustio/locust,20765,12.03,628,91,0,Python,0.99
904,logseq/logseq,20762,2.77,2194,117,0,Clojure,0.76
905,julycoding/The-Art-Of-Programming-By-July-2nd,20742,9.21,254,0,0,C,0.64
906,apache/flink,20739,8.73,7286,0,0,Java,0
907,microsoft/api-guidelines,20738,6.63,158,0,0,Unkutcnown,0.5
908,SwiftGGTeam/the-swift-programming-language-in-chinese,20729,8.74,700,1,1,CSS,0.98
909,mxgmn/WaveFunctionCollapse,20720,6.41,18,1,0,C#,0.98
910,lensapp/lens,20720,4.3,3583,248,0,TypeScript,0.73
911,ColorlibHQ/gentelella,20709,7.79,164,7,0,HTML,0.95
912,google/mediapipe,20689,3.72,32,41,0,C++,0.89
913,rancher/rancher,20688,8.31,7949,936,0,Go,0.93
914,redisson/redisson,20675,9.13,321,120,0,Java,0.92
915,robertdavidgraham/masscan,20675,9.59,82,11,0,C,0.33
916,leereilly/games,20635,11.15,192,0,0,Unkutcnown,0.33
917,git-tips/tips,20622,7.63,138,0,0,JavaScript,0.5
918,FallibleInc/security-guide-for-developers,20619,6.73,26,0,0,Unkutcnown,0.33
919,dracula/dracula-theme,20594,9.34,84,24,0,Unkutcnown,0.99
920,alibaba/Sentinel,20592,4.91,459,23,0,Java,0.75
921,necolas/react-native-web,20587,7.73,62,20,0,JavaScript,0.94
922,judasn/IntelliJ-IDEA-Tutorial,20575,7.54,40,0,0,Unkutcnown,0.99
923,dapr/dapr,20575,3.7,2558,153,0,Go,0.87
924,shieldfy/API-Security-Checklist,20543,5.65,112,0,0,Unkutcnown,0.72
925,ruanyf/es6tutorial,20503,8.86,366,0,0,JavaScript,1.0
926,aseprite/aseprite,20482,8.53,169,86,0,C++,0.59
927,MustangYM/WeChatExtension-ForMac,20474,3.85,45,48,0,Objective-C,0.51
928,refined-github/refined-github,20454,7.04,2542,102,0,TypeScript,0.96
929,directus/directus,20448,10.21,5151,251,0,TypeScript,0.97
930,google/ExoPlayer,20440,8.71,543,22,0,Java,0.93
931,rxhanson/Rectangle,20438,3.69,183,70,0,Swift,0.86
932,js-cookie/js-cookie,20424,7.95,71,34,0,JavaScript,1.0
933,Meituan-Dianping/mpvue,20414,4.98,64,19,0,JavaScript,0.75
934,JohnCoates/Aerial,20380,7.35,217,190,0,Swift,0.94
935,ChristosChristofidis/awesome-deep-learning,20363,8.16,165,0,0,Unkutcnown,0.78
936,jenkinsci/jenkins,20362,12.27,5797,242,0,Java,0
937,gchq/CyberChef,20362,6.25,375,420,0,JavaScript,0.67
938,jhipster/generator-jhipster,20360,9.36,12550,25,0,TypeScript,0.96
939,bazelbuild/bazel,20349,8.72,422,193,0,Java,0.81
940,flameshot-org/flameshot,20337,5.81,785,25,0,C++,0.81
941,kdeldycke/awesome-falsehood,20319,6.48,87,0,0,Unkutcnown,0.96
942,camsong/You-Dont-Need-jQuery,20293,7.27,165,1,0,JavaScript,0.97
943,WeNeedHome/SummaryOfLoanSuspension,20285,0.64,279,0,0,HTML,0
944,forem/forem,20271,6.29,11868,0,0,Ruby,0.89
945,apache/mxnet,20269,7.84,8838,34,0,C++,0.81
946,iawia002/lux,20265,5.01,255,75,0,Go,0.54
947,petkaantonov/bluebird,20256,9.48,292,123,0,JavaScript,0.94
948,futurice/android-best-practices,20245,8.59,80,0,0,Unkutcnown,0.73
949,avajs/ava,20240,8.28,1012,93,0,JavaScript,0.95
950,zhaoolee/ChromeAppHeroes,20229,4.06,7,0,0,JavaScript,0.69
951,Seldaek/monolog,20201,12.03,663,64,0,PHP,0.98
952,javascript-tutorial/en.javascript.info,20195,5.74,1897,0,0,HTML,0.87
953,SamyPesse/How-to-Make-a-Computer-Operating-System,20195,9.25,42,1,0,C,0.39
954,winstonjs/winston,20187,12.17,497,17,0,JavaScript,0.7
955,vnpy/vnpy,20187,8.0,997,55,0,Python,0.99
956,ziglang/zig,20180,7.57,5373,14,0,Zig,0.74
957,ai/nanoid,20150,5.57,165,1,0,JavaScript,0.98
958,PostgREST/postgrest,20121,8.72,878,52,0,Haskell,0.88
959,go-micro/go-micro,20103,8.13,1343,318,0,Go,0.93
960,go-delve/delve,20102,8.78,1421,23,0,Go,0.93
961,norvig/pytudes,20091,6.0,53,0,0,Jupyter Notebook,0.53
962,eligrey/FileSaver.js,20088,11.63,67,14,0,JavaScript,0.75
963,changkun/modern-cpp-tutorial,20086,6.53,104,3,0,C++,0.96
964,go-kratos/kratos,20076,4.14,1190,57,0,Go,0.9
965,benweet/stackedit,20062,9.94,35,13,0,JavaScript,0.6
966,zadam/trilium,20054,5.77,153,259,0,JavaScript,0.74
967,parse-community/parse-server,20050,7.09,3186,238,0,JavaScript,0.93
968,BradLarson/GPUImage,20049,11.04,241,3,1,Objective-C,0.59
